art;Name;Descript;Cost;Unit;count;cat;sup;prod;photo
250104391;Лосьон для чистки ушей собак и кошек;Лосьон для ушей разработан специально для ухода за ушами собак и кошек. Он мягко очищает и помогает поддерживать гигиену, устраняя накопившуюся грязь и излишки серы.;265;100 мл;25;13;13;11;250104391.png
251710899;Переноска для животных кошек и собак;Переноска для кота и собаки выполнена из прочных, но легких материалов, которые легко чистятся. Она подходит как для собак мелких пород, так и для более крупных животных.;1152;шт;12;5;14;11;251710899.png
262159566;Лакомство: легкое говяжье для собак;Сушеное говяжье легкое для собак — это натуральное и вкусное угощение, которое станет отличным дополнением к рациону вашего питомца. ;794;500 г;25;9;8;7;262159566.png
262898008;Поводок нейлоновый красный для собак;Вашему вниманию представлен поводок для средних пород собак нейлоновый с вращающимся карабином. ;661;10м*20мм;21;10;16;14;262898008.png
266658357;Сумка переноска для кошек и собак 2 в 1 весен;Ищете удобное решение для перевозки вашего питомца? Наша сумка переноска для кошек и собак станет незаменимым аксессуаром!;3371;до 10 кг;23;5;17;15;266658357.png
268694126;Поводок брезентовый усиленный для собак хаки;Вашему вниманию представлен поводок для средних и крупных пород собак брезентовый с мощным вертлюгом и карабином.;1881;20м*35мм;13;10;16;14;268694126.png
272887994;Одноразовые пеленки для животных;Пеленки для животных улучшенного качества с липучками — это одноразовые товары, предназначенные для собак и кошек.;733;70 штук 60х45;10;14;15;6;272887994.png
274863286;Клетка для собаки;Клетка для собак номер 2 двухдверная - подходит для содержания и перевозки собак средней величины, клетка станет настоящим вторым домом любимых питомцев. ;3268;60х42х52;10;15;16;7;274863286.png
316630648;Шлейка анатомическая для кошек с крыльями;Представляем вам стильную и удобную шлейку KINGDOM pets с милыми крылышками, созданную специально для прогулок с вашими любимыми кошками и маленькими собачками! ;370;1 шт;32;11;15;13;316630648.png
338471164;Поводок для собак мелких и средних пород;Поводок-рулетка для собак и домашних животных: идеальный аксессуар для комфортных и безопасных прогулок. ;517;5 м;13;10;16;6;338471164.png
355155012;Лакомства для собак мясо утки;Вкусняшки для ваших питомцев. Лакомства для собак Мясо утки на сыромятных кольцах - это вкусный и полезный способ побаловать своего четвероногого друга.;1097;500 г;32;9;6;5;355155012.png
